,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Adopted
7147,A697722,Ruby,2015-02-28 15:18:00,Return_to_owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black,0
7148,A681707,Bear,2014-07-04 18:42:00,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,0
7149,A675910,Tank,2014-04-02 17:47:00,Return_to_owner,,Dog,Neutered Male,6 years,Australian Cattle Dog Mix,Blue Merle,0
7150,A682230,,2014-06-29 17:26:00,Transfer,Partner,Dog,Spayed Female,6 months,Maltese Mix,White,0
7151,A430368,Arenal,2014-02-21 18:09:00,Adoption,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black/White,1
7152,A671997,,2014-02-07 16:18:00,Transfer,Partner,Dog,Neutered Male,10 months,Yorkshire Terrier/Miniature Poodle,Black/Tan,0
7153,A590957,Harley,2013-12-19 13:07:00,Return_to_owner,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Blue,0
7154,A695771,Fox,2015-05-25 13:38:00,Transfer,Partner,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Blue/White,0
7155,A674191,Dixie,2014-04-11 15:33:00,Adoption,,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Red Merle,1
7156,A714075,Bonnie,2015-11-11 15:52:00,Adoption,,Dog,Spayed Female,3 years,Australian Kelpie Mix,Black,1
7157,A691383,Bella,2014-11-04 16:41:00,Return_to_owner,,Dog,Spayed Female,3 years,Basset Hound,Tricolor,0
7158,A683624,Lucy,2014-08-17 17:37:00,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,1
7159,A719128,Lulu,2016-02-08 19:11:00,Adoption,,Dog,Spayed Female,2 years,Norwich Terrier Mix,Tan/White,1
7160,A667474,Gracie,2014-01-03 17:41:00,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,1
7161,A669292,,2013-12-18 11:37:00,Transfer,Partner,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Brown/White,0
7162,A710381,,2015-08-22 15:44:00,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange Tabby,0
7163,A714784,,2015-10-29 18:34:00,Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,0
7164,A697967,Piper,2015-03-08 18:19:00,Adoption,,Dog,Spayed Female,4 months,Australian Kelpie Mix,Black/Brown,1
7165,A680480,Ozzy,2014-06-07 19:01:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,1
7166,A691294,Libby,2014-11-07 16:02:00,Transfer,Partner,Dog,Spayed Female,6 months,Blue Lacy Mix,Blue,0
7167,A712807,Greg,2015-10-06 13:06:00,Transfer,Partner,Dog,Neutered Male,10 months,Belgian Malinois Mix,Tan/Black,0
7168,A671562,Princess,2014-02-04 18:19:00,Return_to_owner,,Dog,Spayed Female,2 years,Rat Terrier/Chihuahua Shorthair,Brown/White,0
7169,A673727,,2014-03-01 17:51:00,Transfer,Partner,Dog,Intact Female,1 month,Dachshund Mix,Blue/Tan,0
7170,A665869,Smokey,2013-11-07 18:23:00,Adoption,,Dog,Neutered Male,10 months,Border Terrier/Yorkshire Terrier,Brown,1
7171,A679673,,2014-05-24 17:08:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico,0
7172,A678289,Ollie,2014-07-01 16:27:00,Adoption,Foster,Dog,Neutered Male,1 month,Chihuahua Shorthair/Cairn Terrier,Brown,1
7173,A687434,Freda,2014-10-12 17:00:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,1
7174,A690710,Piper,2014-10-24 18:32:00,Return_to_owner,,Dog,Spayed Female,5 years,Miniature Schnauzer Mix,Silver,0
7175,A712328,,2015-09-25 12:15:00,Euthanasia,Suffering,Cat,Intact Female,10 years,Domestic Shorthair Mix,Black/White,0
7176,A714886,,2015-10-31 17:48:00,Transfer,Partner,Dog,Neutered Male,6 months,Jack Russell Terrier Mix,Black/White,0
7177,A714977,,2015-11-07 11:56:00,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,0
7178,A704358,,2015-06-04 9:00:00,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,0
7179,A711817,Tibby,2015-11-09 17:23:00,Adoption,,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White,1
7180,A549167,Manda,2014-10-26 16:08:00,Adoption,,Dog,Spayed Female,6 years,Great Pyrenees/Border Collie,White/Black,1
7181,A661676,Chori,2014-10-24 9:19:00,Euthanasia,Aggressive,Dog,Spayed Female,7 years,Pit Bull Mix,Brown/White,0
7182,A712744,Weez,2015-12-21 19:27:00,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White/Brown Tabby,1
7183,A702160,Eagle,2015-05-31 16:37:00,Died,In Kennel,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,0
7184,A711841,Bingo,2015-09-17 9:27:00,Transfer,Partner,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black/White,0
7185,A694513,,2015-01-02 17:36:00,Adoption,,Cat,Neutered Male,2 months,Ragdoll Mix,Flame Point,1
7186,A707113,,2015-09-12 17:08:00,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,1
7187,A714721,,2015-10-27 12:34:00,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,0
7188,A680385,Magic,2014-06-05 17:37:00,Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever/Pit Bull,Blue/White,0
7189,A709299,Jon,2015-08-11 0:00:00,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,0
7190,A685975,Lola,2014-08-19 17:29:00,Adoption,,Dog,Spayed Female,4 years,Miniature Poodle Mix,Gray/White,1
7191,A709656,Scrappy,2015-08-13 18:14:00,Return_to_owner,,Dog,Neutered Male,6 months,Pit Bull Mix,Black/White,0
7192,A683306,Pikachu,2014-07-11 17:49:00,Return_to_owner,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Tan/White,0
7193,A701397,Platypus,2015-06-09 11:59:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,1
7194,A668392,Kora,2013-12-07 12:29:00,Adoption,,Dog,Intact Female,2 months,Australian Shepherd Mix,Blue Merle/White,1
7195,A629363,Spike,2014-12-17 12:22:00,Transfer,Partner,Dog,Neutered Male,8 years,Parson Russell Terrier Mix,White,0
7196,A711713,Link Iii,2015-09-23 8:42:00,Transfer,Partner,Cat,Intact Male,1 month,Siamese Mix,Lynx Point,0
7197,A691453,Toby,2015-12-13 15:07:00,Adoption,Foster,Dog,Neutered Male,6 years,Pit Bull Mix,Black Brindle/White,1
7198,A686625,,2014-08-24 15:34:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,0
7199,A673059,Capone,2014-02-21 17:43:00,Adoption,,Dog,Neutered Male,1 month,Doberman Pinsch/Pit Bull,Black/Brown Brindle,1
7200,A707897,Arya,2015-07-23 18:05:00,Adoption,,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,Black/Brown,1
7201,A682950,Delilah,2014-08-10 15:23:00,Adoption,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tan/White,1
7202,A673635,,2014-03-04 18:11:00,Adoption,,Dog,Neutered Male,9 months,Miniature Pinscher Mix,Tricolor,1
7203,A684069,,2014-07-19 13:07:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Brown Tabby,0
7204,A703762,George,2015-07-10 14:02:00,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan,0
7205,A684451,,2014-07-24 9:00:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,White,0
7206,A718133,,2015-12-23 12:58:00,Euthanasia,Suffering,Dog,Unknown,16 years,Chihuahua Shorthair,White/Silver,0
7207,A651000,Radar,2014-11-15 16:38:00,Return_to_owner,,Cat,Neutered Male,13 years,Domestic Shorthair,Black/White,0
7208,A681459,Shwayze,2014-06-27 13:11:00,Return_to_owner,,Dog,Neutered Male,3 years,Catahoula Mix,Brown Brindle,0
7209,A695475,Gizmo,2015-01-17 17:26:00,Return_to_owner,,Dog,Neutered Male,3 years,Lhasa Apso/Cairn Terrier,Tan/Brown,0
7210,A666622,Gigglez,2013-11-11 18:41:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,1
7211,A698874,Jasmine,2015-03-28 13:49:00,Adoption,,Dog,Spayed Female,10 months,Boxer Mix,Brown,1
7212,A708141,Tank Girl,2015-08-28 15:36:00,Transfer,Partner,Dog,Spayed Female,2 years,Chinese Sharpei Mix,Tan,0
7213,A708070,,2015-07-22 14:49:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,0
7214,A700566,Lyric,2015-07-22 9:16:00,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby,1
7215,A684874,Jazz,2014-11-23 17:18:00,Adoption,,Dog,Spayed Female,1 year,Plott Hound Mix,Brown Brindle/White,1
7216,A711594,,2015-09-13 16:36:00,Transfer,Partner,Dog,Intact Male,2 months,Yorkshire Terrier/Chihuahua Longhair,Gray,0
7217,A690483,Dexter,2014-11-13 15:48:00,Adoption,,Dog,Intact Male,2 months,Border Terrier Mix,Tan,1
7218,A698789,Oscar,2015-03-22 17:46:00,Adoption,,Dog,Neutered Male,2 months,Redbone Hound Mix,Tricolor,1
7219,A667452,Rain,2013-11-22 17:02:00,Adoption,,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Tricolor,1
7220,A665342,Bleu,2013-12-31 16:23:00,Adoption,,Dog,Neutered Male,7 months,Chesa Bay Retr Mix,Chocolate/White,1
7221,A690269,Trixie,2015-01-27 16:26:00,Adoption,,Dog,Spayed Female,11 months,Labrador Retriever Mix,Yellow,1
7222,A666473,Grey,2013-11-07 12:45:00,Adoption,,Dog,Spayed Female,3 years,Queensland Heeler Mix,Black/White,1
7223,A689794,Lyle,2014-10-21 13:16:00,Euthanasia,Behavior,Dog,Neutered Male,2 years,Australian Cattle Dog/Pit Bull,Black/White,0
7224,A681505,Hamilton,2014-06-26 14:03:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,1
7225,A667195,Luna,2014-02-17 11:20:00,Adoption,,Dog,Spayed Female,7 years,Labrador Retriever/Beagle,Black/White,1
7226,A691207,Juno,2014-12-05 17:13:00,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,0
7227,A691280,Basil,2014-12-08 17:58:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,1
7228,A693188,,2014-12-04 9:00:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue Tabby,0
7229,A656387,Ned,2013-10-12 19:00:00,Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever/Chow Chow,Red/White,0
7230,A671596,Maya,2014-02-04 14:09:00,Transfer,Partner,Dog,Spayed Female,4 months,Pit Bull Mix,Brown/White,0
7231,A681190,China,2014-08-19 16:20:00,Transfer,Partner,Dog,Spayed Female,4 years,American Pit Bull Terrier/Catahoula,White/Tan,0
7232,A690431,Spooky,2015-01-03 13:34:00,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair Mix,Black,1
7233,A666895,Moira,2013-12-16 12:31:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,1
7234,A695919,Willie,2015-02-01 13:24:00,Adoption,,Dog,Neutered Male,2 years,Boxer Mix,Brown Brindle,1
7235,A711741,Link,2015-09-12 13:37:00,Return_to_owner,,Dog,Neutered Male,4 years,Dachshund Mix,White/Tan,0
7236,A717558,Chinchilla,2015-12-28 8:10:00,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,0
7237,A674650,,2014-03-16 16:05:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,0
7238,A670897,Toby,2014-01-17 17:57:00,Return_to_owner,,Dog,Neutered Male,2 years,Australian Cattle Dog/German Shorthair Pointer,White/Tricolor,0
7239,A674007,,2014-03-07 15:45:00,Transfer,Partner,Dog,Intact Female,4 months,Pit Bull Mix,Chocolate/White,0
7240,A715134,,2015-11-01 9:00:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Blue Tabby,0
7241,A718683,,2016-01-05 13:27:00,Transfer,Partner,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,0
7242,A702819,,2015-05-18 13:07:00,Euthanasia,Suffering,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Blue Tabby/White,0
7243,A707651,Ava,2015-07-21 17:37:00,Adoption,,Dog,Spayed Female,3 years,Plott Hound Mix,Brown Brindle,1
7244,A667970,Tucker,2013-11-30 17:17:00,Adoption,,Dog,Neutered Male,5 months,Labrador Retriever/German Shepherd,Tan/Black,1
7245,A711905,,2015-09-17 18:35:00,Adoption,,Dog,Spayed Female,7 months,Flat Coat Retriever Mix,Chocolate,1
7246,A704993,Kyra,2015-06-19 9:20:00,Died,In Kennel,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Tortie,0
7247,A699469,Fallon,2015-04-03 16:52:00,Transfer,Partner,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,0
7248,A690387,,2014-10-20 9:00:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black,0
7249,A665225,,2013-10-19 17:53:00,Adoption,,Dog,Spayed Female,2 months,Pug Mix,Brown/Black,1
7250,A671027,Star,2014-02-06 17:18:00,Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,White/Chocolate,1
7251,A694956,Cane,2015-01-30 14:55:00,Adoption,,Dog,Neutered Male,1 year,American Bulldog Mix,White/Black,1
7252,A691749,Paisley,2014-11-13 11:23:00,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,1
7253,A714816,Rye,2015-11-03 11:52:00,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby/White,0
7254,A704297,,2015-06-03 14:36:00,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,0
7255,A685575,Coco,2014-08-12 17:11:00,Return_to_owner,,Dog,Neutered Male,5 months,Jack Russell Terrier Mix,White,0
7256,A706200,Buddah,2015-06-26 16:18:00,Return_to_owner,,Dog,Neutered Male,4 months,Wirehaired Pointing Griffon Mix,Black/White,0
7257,A707817,,2015-07-19 9:00:00,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Brown Tabby,0
7258,A709694,,2015-08-12 13:19:00,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,0
7259,A701319,Mittens,2015-05-04 17:04:00,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black/White,1
7260,A714196,Pookie Bear,2015-11-04 10:36:00,Transfer,Partner,Cat,Neutered Male,7 years,Domestic Longhair Mix,Black,0
7261,A700388,,2015-04-14 9:00:00,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Orange Tabby,0
7262,A701530,Tina,2015-08-11 16:24:00,Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,0
7263,A699342,Shadow,2015-03-26 11:42:00,Return_to_owner,,Dog,Spayed Female,3 years,Border Collie Mix,Black/White,0
7264,A668607,Mr. Pepper,2014-06-17 13:26:00,Transfer,Partner,Dog,Neutered Male,2 years,French Bulldog/Chihuahua Shorthair,Black/Red,0
7265,A694647,Vincent,2015-01-20 16:15:00,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Black,1
7266,A708049,Oliver,2015-08-03 17:11:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,1
7267,A709372,Mystery,2015-08-09 18:52:00,Adoption,,Dog,Spayed Female,10 years,Greyhound Mix,Tan/White,1
7268,A694872,,2015-01-05 19:00:00,Euthanasia,Suffering,Cat,Intact Female,8 years,Domestic Medium Hair Mix,White,0
7269,A673972,Eddie,2014-03-10 17:30:00,Died,In Kennel,Dog,Neutered Male,10 years,Pug/Chihuahua Shorthair,Cream,0
7270,A669482,Truman,2013-12-27 16:46:00,Adoption,,Dog,Neutered Male,5 years,Pug/Chihuahua Shorthair,Brown/Black,1
7271,A708388,,2015-07-28 9:00:00,Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Blue,0
7272,A678315,Ruxpin,2014-05-18 11:08:00,Transfer,Partner,Dog,Intact Female,12 years,Flat Coat Retriever Mix,Black,0
7273,A715323,Telli,2015-11-30 13:56:00,Transfer,Partner,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Brown Brindle,0
7274,A666423,,2013-11-01 11:06:00,Euthanasia,Suffering,Dog,Intact Female,2 years,Pit Bull Mix,Red/Brown,0
7275,A669054,Izzy,2013-12-18 14:38:00,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby,0
7276,A669181,,2013-12-18 18:21:00,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White,1
7277,A684079,Cleo,2014-07-23 18:36:00,Adoption,,Dog,Spayed Female,2 months,Chihuahua Longhair Mix,Sable/Tan,1
7278,A627376,Major,2015-07-21 17:09:00,Adoption,,Dog,Neutered Male,6 years,American Staffordshire Terrier,Brown/White,1
7279,A668503,,2013-12-06 17:28:00,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Orange Tabby,0
7280,A667008,Meerka,2013-11-24 13:32:00,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue,1
7281,A720854,,2016-02-20 17:31:00,Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Longhair Mix,Brown/White,0
7282,A681246,Max,2014-07-03 14:38:00,Adoption,,Cat,Intact Male,2 months,Domestic Medium Hair Mix,Brown Tabby/White,1
7283,A667329,Tres,2013-11-21 13:34:00,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White,1
7284,A654782,Gilda,2013-10-09 18:54:00,Adoption,,Dog,Spayed Female,11 months,Pointer/Labrador Retriever,White/Black,1
7285,A699834,Keller,2015-04-09 15:30:00,Return_to_owner,,Dog,Spayed Female,2 years,Australian Shepherd,Red Merle,0
7286,A705611,Jay,2015-06-24 15:14:00,Transfer,Partner,Dog,Intact Female,3 months,Pit Bull Mix,White/Brown,0
7287,A678314,Peabody,2014-05-22 11:50:00,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Cream,1
7288,A713406,,2015-10-08 13:47:00,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,0
7289,A700364,Squirt,2015-05-17 11:12:00,Adoption,,Cat,Neutered Male,2 months,Manx Mix,Orange Tabby,1
7290,A664742,Angel,2013-10-11 18:08:00,Return_to_owner,,Dog,Spayed Female,4 years,Dachshund Mix,Black/White,0
7291,A701395,Koala,2015-06-24 12:23:00,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,0
7292,A672192,Aspen,2014-05-22 10:18:00,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,1
7293,A677338,Louise,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Tan,0
7294,A669135,Holly,2013-12-18 16:14:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie,0
7295,A688881,,2014-09-29 16:38:00,Adoption,,Dog,Neutered Male,10 months,Soft Coated Wheaten Terrier Mix,Cream,1
7296,A693670,,2014-12-28 13:26:00,Transfer,Partner,Dog,Intact Male,6 months,Beagle Mix,Tan/White,0
7297,A692883,Patches,2015-01-09 15:28:00,Return_to_owner,,Dog,Spayed Female,9 months,English Pointer Mix,White/Black,0
7298,A689496,Winston,2014-10-04 17:28:00,Euthanasia,Suffering,Dog,Intact Male,10 years,St. Bernard Smooth Coat Mix,White/Brown,0
7299,A692132,Albert,2014-11-21 11:12:00,Transfer,Partner,Dog,Neutered Male,4 months,Pit Bull Mix,Tan/White,0
7300,A678590,,2014-05-17 12:13:00,Adoption,,Dog,Neutered Male,2 months,German Shepherd/Pembroke Welsh Corgi,Tricolor/Brown,1
7301,A701742,Boots,2015-05-07 15:12:00,Return_to_owner,,Dog,Intact Male,12 years,Chihuahua Longhair Mix,Tan,0
7302,A714320,Pils,2015-12-18 14:49:00,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,1
7303,A704121,Lacey 3,2015-06-03 12:11:00,Transfer,Partner,Dog,Spayed Female,2 years,Shih Tzu Mix,Tricolor,0
7304,A658625,Hogan,2014-01-19 17:07:00,Adoption,Foster,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Brown Tabby,1
7305,A536757,Tona,2015-06-21 11:59:00,Return_to_owner,,Dog,Spayed Female,8 years,Miniature Poodle Mix,Buff,0
7306,A684436,Aria,2014-08-24 14:51:00,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White,0
7307,A703541,Clifford,2015-05-30 15:18:00,Transfer,Partner,Dog,Intact Male,2 months,Newfoundland Mix,Black/White,0
7308,A676549,,2014-04-17 13:46:00,Transfer,Partner,Dog,Intact Female,8 months,Queensland Heeler Mix,White/Brown,0
7309,A690041,Caramel,2014-11-08 17:46:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White,1
7310,A656767,Bluebell,2014-10-09 18:08:00,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,0
7311,A685624,Lucy,2014-08-12 17:59:00,Return_to_owner,,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Brown,0
7312,A710335,Rebbie,2015-09-05 8:45:00,Died,In Kennel,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue,0
7313,A616126,Max,2014-04-27 17:38:00,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Tan,0
7314,A627576,Miles,2015-02-14 12:25:00,Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown,0
7315,A705306,,2015-06-16 9:00:00,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Shorthair Mix,Brown Tabby,0
7316,A618687,Buddy,2015-05-20 14:13:00,Euthanasia,Suffering,Dog,Neutered Male,12 years,Rottweiler/Chow Chow,Black/Tan,0
7317,A667591,Molly Blue,2013-12-19 13:06:00,Adoption,,Dog,Spayed Female,1 year,Border Collie Mix,Black/White,1
7318,A720186,,2016-02-05 15:08:00,Transfer,Partner,Dog,Intact Female,12 years,Labrador Retriever/Chow Chow,Black/Brown,0
7319,A712904,,2015-09-29 19:01:00,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair Mix,Brown Tabby/White,0
7320,A680852,Ranger,2014-07-26 14:43:00,Adoption,Foster,Dog,Neutered Male,3 months,Pointer/Border Collie,Black/White,1
7321,A697877,Dumpling,2015-03-09 11:37:00,Transfer,Partner,Dog,Intact Female,10 years,Lhasa Apso Mix,Buff,0
7322,A682017,Aj,2015-04-23 16:18:00,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,0
7323,A688761,,2014-09-23 13:22:00,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Torbie,0
7324,A684161,,2014-07-24 20:02:00,Adoption,,Dog,Spayed Female,3 months,Border Collie Mix,Black/White,1
7325,A701368,Kitty,2015-04-29 12:15:00,Transfer,Partner,Dog,Intact Female,3 years,Miniature Poodle/Cocker Spaniel,Black/White,0
7326,A715202,Lana,2015-11-06 12:46:00,Transfer,Partner,Dog,Intact Female,3 years,Chihuahua Longhair Mix,White,0
7327,A691471,Munchies,2015-02-15 11:01:00,Transfer,Partner,Dog,Intact Male,2 years,Pit Bull Mix,Brown/White,0
7328,A712862,Chip,2015-10-06 13:59:00,Transfer,Partner,Dog,Neutered Male,7 years,Miniature Schnauzer Mix,Black,0
7329,A684570,Blue,2014-10-18 18:05:00,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Blue,1
7330,A705260,Lilly,2015-06-17 15:46:00,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,White/Blue,0
7331,A652198,Essie,2014-07-06 16:16:00,Adoption,,Dog,Spayed Female,2 years,Feist Mix,Tan/White,1
7332,A664169,Twizzler,2014-03-27 10:39:00,Adoption,Foster,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Red,1
7333,A671199,,2014-01-28 17:33:00,Adoption,,Dog,Neutered Male,2 months,Chow Chow/Border Collie,Black/White,1
7334,A664071,,2013-10-09 13:16:00,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Black,0
7335,A659352,Magic,2014-02-08 11:39:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,1
7336,A715857,,2015-11-15 19:08:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby,0
7337,A715736,,2015-11-10 9:00:00,Transfer,SCRP,Cat,Unknown,10 months,Domestic Longhair Mix,Blue Tabby/White,0
7338,A709539,Athena,2015-09-08 17:54:00,Adoption,,Dog,Spayed Female,4 years,Rottweiler,Tricolor,1
7339,A652104,Clause,2015-11-22 11:17:00,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown,0
7340,A671067,,2014-01-21 17:12:00,Adoption,,Dog,Spayed Female,3 months,Miniature Pinscher Mix,Chocolate/Brown,1
7341,A702693,,2015-05-16 18:41:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby,0
7342,A693687,Major,2015-03-27 14:52:00,Euthanasia,Behavior,Dog,Neutered Male,1 year,American Staffordshire Terrier Mix,Fawn,0
7343,A564774,Juicy,2015-02-15 14:14:00,Return_to_owner,,Dog,Spayed Female,6 years,Carolina Dog/Pit Bull,Brown,0
7344,A685699,Fuzz,2014-10-02 11:02:00,Adoption,Foster,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black,1
7345,A675619,Bosco,2014-04-05 17:48:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Chocolate/White,1
7346,A696544,Samantha,2015-03-04 11:06:00,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black,1
7347,A719753,Kida,2016-01-30 18:19:00,Return_to_owner,,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Red Merle,0
7348,A672529,Lizzie,2014-02-16 13:45:00,Transfer,Partner,Dog,Spayed Female,3 months,Catahoula/Labrador Retriever,White/Brown,0
7349,A671673,,2014-01-29 15:24:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue,0
7350,A668596,,2013-12-13 11:40:00,Return_to_owner,,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,Tricolor,0
7351,A694104,Max,2014-12-26 15:47:00,Transfer,Partner,Cat,Neutered Male,7 years,Persian Mix,Brown Tabby,0
7352,A703208,Vaughn,2015-05-26 18:10:00,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,1
